Transaction ID,Account ID,Transaction Type,Transaction Amount
TRANS000061,ACC00061,Credit,2653.11
TRANS000062,ACC00062,Debit,3973.05
TRANS000063,ACC00063,Debit,4615.78
TRANS000064,ACC00064,Credit,4637.41
TRANS000065,ACC00065,Debit,1704.71
TRANS000066,ACC00066,Debit,3049.58
TRANS000067,ACC00067,Debit,3780.17
TRANS000068,ACC00068,Debit,596.72
TRANS000069,ACC00069,Credit,2065.18
TRANS000070,ACC00070,Credit,1754.78
TRANS000071,ACC00071,Credit,4692.0
TRANS000072,ACC00072,Credit,1671.08
TRANS000073,ACC00073,Credit,676.16
TRANS000074,ACC00074,Credit,691.55
TRANS000075,ACC00075,Debit,955.62
TRANS000076,ACC00076,Credit,568.67
TRANS000077,ACC00077,Credit,4547.39
TRANS000078,ACC00078,Debit,4595.13
TRANS000079,ACC00079,Credit,817.2
TRANS000080,ACC00080,Credit,1057.53
TRANS000081,ACC00081,Credit,65.81
TRANS000082,ACC00082,Debit,2763.82
TRANS000083,ACC00083,Debit,3471.37
TRANS000084,ACC00084,Debit,4861.87
TRANS000085,ACC00085,Debit,2253.64
TRANS000086,ACC00086,Debit,2751.27
TRANS000087,ACC00087,Credit,1506.13
TRANS000088,ACC00088,Credit,4398.37
TRANS000089,ACC00089,Debit,2455.79
TRANS000090,ACC00090,Debit,292.86
TRANS000091,ACC00091,Debit,4349.47
TRANS000092,ACC00092,Credit,1905.09
TRANS000093,ACC00093,Credit,1873.93
TRANS000094,ACC00094,Debit,720.93
TRANS000095,ACC00095,Debit,2531.24
TRANS000096,ACC00096,Debit,1822.42
TRANS000097,ACC00097,Debit,4236.17
TRANS000098,ACC00098,Debit,1438.73
TRANS000099,ACC00099,Credit,633.58
TRANS000100,ACC00100,Debit,2661.73
TRANS000101,ACC00101,Debit,527.86
TRANS000102,ACC00102,Credit,3011.55
TRANS000103,ACC00103,Debit,2335.61
TRANS000104,ACC00104,Debit,816.25
TRANS000105,ACC00105,Credit,268.34
TRANS000106,ACC00106,Debit,3909.87
TRANS000107,ACC00107,Debit,3040.32
TRANS000108,ACC00108,Debit,3883.95
TRANS000109,ACC00109,Debit,464.64
TRANS000110,ACC00110,Credit,708.56
TRANS000111,ACC00111,Debit,2892.39
TRANS000112,ACC00112,Debit,3521.46
TRANS000113,ACC00113,Credit,2710.24
TRANS000114,ACC00114,Debit,1403.54
TRANS000115,ACC00115,Debit,353.83
TRANS000116,ACC00116,Credit,969.45
TRANS000117,ACC00117,Debit,82.71
TRANS000118,ACC00118,Credit,4032.66
TRANS000119,ACC00119,Debit,916.0
TRANS000120,ACC00120,Credit,1250.19
TRANS000121,ACC00121,Debit,4372.7
TRANS000122,ACC00122,Credit,204.76
TRANS000123,ACC00123,Credit,1990.09
TRANS000124,ACC00124,Credit,2755.95
TRANS000125,ACC00125,Debit,3435.91
TRANS000126,ACC00126,Credit,2623.74
TRANS000127,ACC00127,Debit,4049.94
TRANS000128,ACC00128,Debit,771.36
TRANS000129,ACC00129,Debit,1916.72
TRANS000130,ACC00130,Debit,671.25
TRANS000131,ACC00131,Debit,529.17
TRANS000132,ACC00132,Debit,1827.57
TRANS000133,ACC00133,Credit,3790.44
TRANS000134,ACC00134,Debit,3369.57
TRANS000135,ACC00135,Debit,4241.6
TRANS000136,ACC00136,Debit,658.88
TRANS000137,ACC00137,Debit,878.15
TRANS000138,ACC00138,Credit,1181.11
TRANS000139,ACC00139,Credit,4659.91
TRANS000140,ACC00140,Credit,2209.54
TRANS000141,ACC00141,Credit,4355.66
TRANS000142,ACC00142,Credit,4320.18
TRANS000143,ACC00143,Debit,3696.8
TRANS000144,ACC00144,Debit,1166.65
TRANS000145,ACC00145,Credit,772.32
TRANS000146,ACC00146,Credit,100.12
TRANS000147,ACC00147,Credit,1873.98
TRANS000148,ACC00148,Credit,1153.06
TRANS000149,ACC00149,Credit,4097.0
TRANS000150,ACC00150,Credit,1851.18
TRANS000151,ACC00151,Debit,4749.44
TRANS000152,ACC00152,Credit,3604.0
TRANS000153,ACC00153,Credit,4178.58
TRANS000154,ACC00154,Credit,2134.17
TRANS000155,ACC00155,Debit,4901.98
TRANS000156,ACC00156,Credit,802.31
TRANS000157,ACC00157,Debit,4667.44
TRANS000158,ACC00158,Credit,4864.88
TRANS000159,ACC00159,Credit,256.07
TRANS000160,ACC00160,Credit,4164.72
TRANS000161,ACC00161,Debit,4372.5
TRANS000162,ACC00162,Credit,1287.61
TRANS000163,ACC00163,Debit,3766.1
TRANS000164,ACC00164,Credit,1483.79
TRANS000165,ACC00165,Credit,3197.18
TRANS000166,ACC00166,Credit,3635.44
TRANS000167,ACC00167,Debit,3365.31
TRANS000168,ACC00168,Credit,2274.93
TRANS000169,ACC00169,Credit,4975.61
TRANS000170,ACC00170,Debit,142.52
TRANS000171,ACC00171,Credit,2196.57
TRANS000172,ACC00172,Credit,120.43
TRANS000173,ACC00173,Debit,1280.9
TRANS000174,ACC00174,Debit,3810.46
TRANS000175,ACC00175,Debit,1951.53
TRANS000176,ACC00176,Credit,2312.14
TRANS000177,ACC00177,Debit,4157.58
TRANS000178,ACC00178,Debit,4885.56
TRANS000179,ACC00179,Credit,2915.97
TRANS000180,ACC00180,Debit,2862.87
TRANS000181,ACC00181,Debit,326.51
TRANS000182,ACC00182,Credit,1351.29
TRANS000183,ACC00183,Credit,4526.59
TRANS000184,ACC00184,Credit,2747.17
TRANS000185,ACC00185,Credit,1639.15
TRANS000186,ACC00186,Credit,780.23
TRANS000187,ACC00187,Credit,3310.44
TRANS000188,ACC00188,Credit,4694.58
TRANS000189,ACC00189,Debit,495.14
TRANS000190,ACC00190,Debit,1917.91
TRANS000191,ACC00191,Credit,2837.76
TRANS000192,ACC00192,Credit,726.35
TRANS000193,ACC00193,Credit,4712.89
TRANS000194,ACC00194,Credit,3341.72
TRANS000195,ACC00195,Debit,779.99
TRANS000196,ACC00196,Credit,2591.51
TRANS000197,ACC00197,Credit,3758.66
TRANS000198,ACC00198,Credit,2742.16
TRANS000199,ACC00199,Credit,3827.7
TRANS000200,ACC00200,Debit,4350.81
TRANS000201,ACC00201,Debit,3166.81
TRANS000202,ACC00202,Debit,4164.0
TRANS000203,ACC00203,Credit,4254.19
TRANS000204,ACC00204,Debit,3205.58
TRANS000205,ACC00205,Debit,750.2
TRANS000206,ACC00206,Debit,3413.8
TRANS000207,ACC00207,Credit,525.88
TRANS000208,ACC00208,Credit,1586.45
TRANS000209,ACC00209,Debit,2802.39
TRANS000210,ACC00210,Credit,389.6
TRANS000211,ACC00211,Debit,378.23
TRANS000212,ACC00212,Credit,1371.06
TRANS000213,ACC00213,Debit,3470.72
TRANS000214,ACC00214,Credit,2458.57
TRANS000215,ACC00215,Credit,4314.73
TRANS000216,ACC00216,Credit,2040.88
TRANS000217,ACC00217,Debit,3373.53
TRANS000218,ACC00218,Debit,670.01
TRANS000219,ACC00219,Credit,4577.8
TRANS000220,ACC00220,Debit,2128.63
TRANS000221,ACC00221,Debit,276.24
TRANS000222,ACC00222,Debit,909.95
TRANS000223,ACC00223,Debit,4003.68
TRANS000224,ACC00224,Credit,3440.09
TRANS000225,ACC00225,Debit,257.73
TRANS000226,ACC00226,Debit,1718.61
TRANS000227,ACC00227,Credit,2166.2
TRANS000228,ACC00228,Debit,4756.51
TRANS000229,ACC00229,Credit,4910.86
TRANS000230,ACC00230,Debit,1346.27
TRANS000231,ACC00231,Debit,277.66
TRANS000232,ACC00232,Credit,4374.48
TRANS000233,ACC00233,Credit,1213.51
TRANS000234,ACC00234,Debit,3652.16
TRANS000235,ACC00235,Debit,2023.45
TRANS000236,ACC00236,Debit,4959.92
TRANS000237,ACC00237,Credit,4194.73
TRANS000238,ACC00238,Debit,2588.8
TRANS000239,ACC00239,Debit,3814.85
TRANS000240,ACC00240,Credit,1229.95
TRANS000241,ACC00241,Debit,1576.52
TRANS000242,ACC00242,Credit,4189.35
TRANS000243,ACC00243,Credit,4620.09
TRANS000244,ACC00244,Credit,1491.66
TRANS000245,ACC00245,Credit,3948.08
TRANS000246,ACC00246,Credit,4973.02
TRANS000247,ACC00247,Credit,1789.64
TRANS000248,ACC00248,Credit,3405.0
TRANS000249,ACC00249,Credit,3775.94
TRANS000250,ACC00250,Credit,3051.49
TRANS000251,ACC00251,Credit,4028.45
TRANS000252,ACC00252,Debit,603.49
TRANS000253,ACC00253,Credit,2676.91
TRANS000254,ACC00254,Credit,1336.54
TRANS000255,ACC00255,Debit,4692.61
TRANS000256,ACC00256,Debit,2618.41
TRANS000257,ACC00257,Credit,2654.1
TRANS000258,ACC00258,Credit,4296.38
TRANS000259,ACC00259,Debit,4491.99
TRANS000260,ACC00260,Credit,290.74
TRANS000261,ACC00261,Debit,671.71
TRANS000262,ACC00262,Credit,3899.7
TRANS000263,ACC00263,Credit,1451.03
TRANS000264,ACC00264,Credit,291.44
TRANS000265,ACC00265,Credit,4220.83
TRANS000266,ACC00266,Credit,4347.73
TRANS000267,ACC00267,Debit,2632.44
TRANS000268,ACC00268,Credit,90.6
TRANS000269,ACC00269,Credit,1753.72
TRANS000270,ACC00270,Debit,1115.5
TRANS000271,ACC00271,Credit,3801.04
TRANS000272,ACC00272,Debit,3850.11
TRANS000273,ACC00273,Credit,2518.27
TRANS000274,ACC00274,Credit,2612.73
TRANS000275,ACC00275,Debit,3348.81
TRANS000276,ACC00276,Debit,4147.41
TRANS000277,ACC00277,Credit,3792.25
TRANS000278,ACC00278,Debit,1135.92
TRANS000279,ACC00279,Debit,1052.28
TRANS000280,ACC00280,Credit,933.43
TRANS000281,ACC00281,Debit,1512.06
TRANS000282,ACC00282,Debit,1627.31
TRANS000283,ACC00283,Debit,1081.21
TRANS000284,ACC00284,Debit,2201.58
TRANS000285,ACC00285,Debit,1581.76
TRANS000286,ACC00286,Debit,4229.52
TRANS000287,ACC00287,Credit,1758.31
TRANS000288,ACC00288,Credit,2907.44
TRANS000289,ACC00289,Credit,3188.03
TRANS000290,ACC00290,Credit,2140.34
TRANS000291,ACC00291,Debit,2115.24
TRANS000292,ACC00292,Credit,2621.15
TRANS000293,ACC00293,Credit,3192.96
TRANS000294,ACC00294,Credit,2246.21
TRANS000295,ACC00295,Credit,886.19
TRANS000296,ACC00296,Credit,971.59
TRANS000297,ACC00297,Credit,270.05
TRANS000298,ACC00298,Debit,3302.17
TRANS000299,ACC00299,Credit,1327.27
TRANS000300,ACC00300,Credit,3256.14
TRANS000301,ACC00301,Credit,4874.3
TRANS000302,ACC00302,Debit,988.94
TRANS000303,ACC00303,Credit,4109.5
TRANS000304,ACC00304,Debit,1980.75
TRANS000305,ACC00305,Debit,4327.3
TRANS000306,ACC00306,Credit,4570.02
TRANS000307,ACC00307,Credit,1779.75
TRANS000308,ACC00308,Debit,609.01
TRANS000309,ACC00309,Debit,3812.98
TRANS000310,ACC00310,Debit,1081.42
TRANS000311,ACC00311,Debit,1982.16
TRANS000312,ACC00312,Credit,2075.61
TRANS000313,ACC00313,Debit,817.83
TRANS000314,ACC00314,Debit,3540.54
TRANS000315,ACC00315,Debit,4370.27
TRANS000316,ACC00316,Credit,3227.39
TRANS000317,ACC00317,Debit,4866.39
TRANS000318,ACC00318,Credit,2952.93
TRANS000319,ACC00319,Credit,1858.46
TRANS000320,ACC00320,Credit,4732.88
TRANS000321,ACC00321,Debit,3782.9
TRANS000322,ACC00322,Debit,3178.25
TRANS000323,ACC00323,Credit,3460.03
TRANS000324,ACC00324,Credit,3701.98
TRANS000325,ACC00325,Credit,254.8
TRANS000326,ACC00326,Credit,3048.49
TRANS000327,ACC00327,Credit,3222.97
TRANS000328,ACC00328,Debit,3450.97
TRANS000329,ACC00329,Debit,3783.58
TRANS000330,ACC00330,Credit,3813.82
TRANS000331,ACC00331,Credit,244.05
TRANS000332,ACC00332,Debit,4161.21
TRANS000333,ACC00333,Debit,501.44
TRANS000334,ACC00334,Debit,4147.0
TRANS000335,ACC00335,Debit,4095.07
TRANS000336,ACC00336,Credit,2269.45
TRANS000337,ACC00337,Credit,1951.07
TRANS000338,ACC00338,Debit,503.96
TRANS000339,ACC00339,Debit,3481.36
TRANS000340,ACC00340,Credit,4917.08
TRANS000341,ACC00341,Debit,2989.58
TRANS000342,ACC00342,Credit,3006.53
TRANS000343,ACC00343,Debit,1589.72
TRANS000344,ACC00344,Debit,3054.48
TRANS000345,ACC00345,Credit,3157.51
TRANS000346,ACC00346,Credit,355.2
TRANS000347,ACC00347,Credit,2047.85
TRANS000348,ACC00348,Credit,2227.48
TRANS000349,ACC00349,Debit,2359.6
TRANS000350,ACC00350,Credit,2421.93
TRANS000351,ACC00351,Debit,988.26
TRANS000352,ACC00352,Credit,2500.94
TRANS000353,ACC00353,Credit,887.95
TRANS000354,ACC00354,Debit,4428.66
TRANS000355,ACC00355,Debit,4140.6
TRANS000356,ACC00356,Debit,2496.2
TRANS000357,ACC00357,Debit,4947.46
TRANS000358,ACC00358,Debit,166.56
TRANS000359,ACC00359,Credit,2529.3
TRANS000360,ACC00360,Debit,2530.64
TRANS000361,ACC00361,Credit,4882.98
TRANS000362,ACC00362,Debit,99.41
TRANS000363,ACC00363,Credit,2726.27
TRANS000364,ACC00364,Debit,66.75
TRANS000365,ACC00365,Credit,2207.81
TRANS000366,ACC00366,Credit,229.67
TRANS000367,ACC00367,Credit,3672.86
TRANS000368,ACC00368,Credit,4193.86
TRANS000369,ACC00369,Debit,2243.95
TRANS000370,ACC00370,Credit,3557.49
TRANS000371,ACC00371,Debit,1473.83
TRANS000372,ACC00372,Credit,2137.28
TRANS000373,ACC00373,Debit,663.37
TRANS000374,ACC00374,Credit,1941.01
TRANS000375,ACC00375,Debit,4649.39
TRANS000376,ACC00376,Credit,3639.94
TRANS000377,ACC00377,Credit,1654.58
TRANS000378,ACC00378,Debit,3953.38
TRANS000379,ACC00379,Debit,3102.3
TRANS000380,ACC00380,Debit,3184.12
TRANS000381,ACC00381,Debit,4402.08
TRANS000382,ACC00382,Credit,882.44
TRANS000383,ACC00383,Credit,3807.16
TRANS000384,ACC00384,Debit,2553.16
TRANS000385,ACC00385,Credit,826.73
TRANS000386,ACC00386,Credit,443.34
TRANS000387,ACC00387,Credit,3320.98
TRANS000388,ACC00388,Debit,3126.83
TRANS000389,ACC00389,Debit,304.09
TRANS000390,ACC00390,Credit,3619.87
TRANS000391,ACC00391,Debit,2549.85
TRANS000392,ACC00392,Credit,2797.69
TRANS000393,ACC00393,Debit,2602.81
TRANS000394,ACC00394,Credit,1168.74
TRANS000395,ACC00395,Debit,3194.06
TRANS000396,ACC00396,Debit,938.55
TRANS000397,ACC00397,Credit,480.07
TRANS000398,ACC00398,Credit,546.27
TRANS000399,ACC00399,Debit,3049.43
TRANS000400,ACC00400,Debit,486.94
TRANS000401,ACC00401,Credit,930.25
TRANS000402,ACC00402,Credit,2771.16
TRANS000403,ACC00403,Credit,2925.96
TRANS000404,ACC00404,Debit,3847.0
TRANS000405,ACC00405,Credit,3556.56
TRANS000406,ACC00406,Credit,1621.91
TRANS000407,ACC00407,Debit,698.42
TRANS000408,ACC00408,Credit,1782.92
TRANS000409,ACC00409,Debit,1592.15
TRANS000410,ACC00410,Credit,3414.35
TRANS000411,ACC00411,Debit,3370.05
TRANS000412,ACC00412,Credit,4916.84
TRANS000413,ACC00413,Credit,2966.42
TRANS000414,ACC00414,Debit,2570.49
TRANS000415,ACC00415,Credit,3705.73
TRANS000416,ACC00416,Credit,1005.24
TRANS000417,ACC00417,Debit,244.11
TRANS000418,ACC00418,Debit,1716.94
TRANS000419,ACC00419,Debit,3608.23
TRANS000420,ACC00420,Debit,1521.23
TRANS000421,ACC00421,Credit,3223.83
TRANS000422,ACC00422,Credit,542.15
TRANS000423,ACC00423,Debit,4977.9
TRANS000424,ACC00424,Debit,2999.31
TRANS000425,ACC00425,Credit,1953.39
TRANS000426,ACC00426,Debit,3908.42
TRANS000427,ACC00427,Debit,11.45
TRANS000428,ACC00428,Debit,1540.72
TRANS000429,ACC00429,Debit,3187.64
TRANS000430,ACC00430,Debit,1858.99
TRANS000431,ACC00431,Credit,3547.08
TRANS000432,ACC00432,Debit,1866.79
TRANS000433,ACC00433,Credit,2981.57
TRANS000434,ACC00434,Debit,1559.72
TRANS000435,ACC00435,Credit,602.66
TRANS000436,ACC00436,Credit,1826.15
TRANS000437,ACC00437,Credit,4595.26
TRANS000438,ACC00438,Debit,416.1
TRANS000439,ACC00439,Credit,3414.73
TRANS000440,ACC00440,Credit,2664.1
TRANS000441,ACC00441,Credit,3079.94
TRANS000442,ACC00442,Credit,1146.94
TRANS000443,ACC00443,Debit,3130.95
TRANS000444,ACC00444,Debit,1062.98
TRANS000445,ACC00445,Credit,1970.29
TRANS000446,ACC00446,Credit,186.97
TRANS000447,ACC00447,Debit,312.11
TRANS000448,ACC00448,Credit,2826.62
TRANS000449,ACC00449,Debit,3518.72
TRANS000450,ACC00450,Credit,1898.94
TRANS000451,ACC00451,Credit,2728.23
TRANS000452,ACC00452,Debit,4060.23
TRANS000453,ACC00453,Debit,3349.53
TRANS000454,ACC00454,Credit,4155.77
TRANS000455,ACC00455,Debit,3917.75
TRANS000456,ACC00456,Debit,1343.28
TRANS000457,ACC00457,Credit,3655.2
TRANS000458,ACC00458,Credit,4000.03
TRANS000459,ACC00459,Debit,4817.58
TRANS000460,ACC00460,Debit,1957.21
TRANS000461,ACC00461,Credit,1510.27
TRANS000462,ACC00462,Credit,3587.69
TRANS000463,ACC00463,Credit,154.59
TRANS000464,ACC00464,Credit,4778.17
TRANS000465,ACC00465,Credit,585.88
TRANS000466,ACC00466,Credit,1704.99
TRANS000467,ACC00467,Credit,4774.84
TRANS000468,ACC00468,Debit,1170.72
TRANS000469,ACC00469,Credit,1541.58
TRANS000470,ACC00470,Credit,3744.08
TRANS000471,ACC00471,Credit,3412.65
TRANS000472,ACC00472,Credit,602.38
TRANS000473,ACC00473,Credit,262.07
TRANS000474,ACC00474,Debit,882.12
TRANS000475,ACC00475,Debit,2468.28
TRANS000476,ACC00476,Credit,4618.18
TRANS000477,ACC00477,Credit,561.09
TRANS000478,ACC00478,Debit,983.34
TRANS000479,ACC00479,Credit,1031.6
TRANS000480,ACC00480,Debit,674.4
TRANS000481,ACC00481,Debit,3845.54
TRANS000482,ACC00482,Credit,1947.77
TRANS000483,ACC00483,Credit,3405.51
TRANS000484,ACC00484,Debit,2147.68
TRANS000485,ACC00485,Debit,44.94
TRANS000486,ACC00486,Credit,2770.56
TRANS000487,ACC00487,Credit,3435.77
TRANS000488,ACC00488,Debit,3795.02
TRANS000489,ACC00489,Debit,2958.13
TRANS000490,ACC00490,Credit,3317.56
TRANS000491,ACC00491,Debit,1319.06
TRANS000492,ACC00492,Debit,4574.94
TRANS000493,ACC00493,Debit,1918.77
TRANS000494,ACC00494,Credit,2348.47
TRANS000495,ACC00495,Credit,55.85
TRANS000496,ACC00496,Credit,2818.29
TRANS000497,ACC00497,Credit,1015.49
TRANS000498,ACC00498,Credit,3370.29
TRANS000499,ACC00499,Debit,379.74
TRANS000500,ACC00500,Debit,3152.59
TRANS000501,ACC00501,Credit,83.94
TRANS000502,ACC00502,Credit,2057.17
TRANS000503,ACC00503,Credit,3329.48
TRANS000504,ACC00504,Debit,1272.76
TRANS000505,ACC00505,Debit,833.97
TRANS000506,ACC00506,Credit,4054.66
TRANS000507,ACC00507,Credit,2398.79
TRANS000508,ACC00508,Credit,2429.86
TRANS000509,ACC00509,Debit,2015.79
TRANS000510,ACC00510,Credit,3189.03
TRANS000511,ACC00511,Credit,2058.63
TRANS000512,ACC00512,Credit,4369.71
TRANS000513,ACC00513,Debit,1273.18
TRANS000514,ACC00514,Credit,1090.1
TRANS000515,ACC00515,Debit,1128.15
TRANS000516,ACC00516,Credit,4208.95
TRANS000517,ACC00517,Debit,1166.67
TRANS000518,ACC00518,Credit,2686.02
TRANS000519,ACC00519,Credit,4804.13
TRANS000520,ACC00520,Debit,4962.27
TRANS000521,ACC00521,Credit,3875.62
TRANS000522,ACC00522,Credit,2065.81
TRANS000523,ACC00523,Debit,232.18
TRANS000524,ACC00524,Debit,4482.52
TRANS000525,ACC00525,Credit,2120.5
TRANS000526,ACC00526,Debit,3645.81
TRANS000527,ACC00527,Debit,559.51
TRANS000528,ACC00528,Debit,4650.43
TRANS000529,ACC00529,Credit,58.99
TRANS000530,ACC00530,Debit,577.03
TRANS000531,ACC00531,Debit,919.61
TRANS000532,ACC00532,Debit,1196.29
TRANS000533,ACC00533,Credit,679.08
TRANS000534,ACC00534,Debit,2030.08
TRANS000535,ACC00535,Debit,3150.61
TRANS000536,ACC00536,Debit,502.63
TRANS000537,ACC00537,Debit,3690.18
TRANS000538,ACC00538,Debit,4247.46
TRANS000539,ACC00539,Credit,796.09
TRANS000540,ACC00540,Credit,2551.57
TRANS000541,ACC00541,Credit,1191.4
TRANS000542,ACC00542,Debit,3420.45
TRANS000543,ACC00543,Debit,635.98
TRANS000544,ACC00544,Credit,380.87
TRANS000545,ACC00545,Credit,4836.96
TRANS000546,ACC00546,Credit,272.04
TRANS000547,ACC00547,Credit,3982.4
TRANS000548,ACC00548,Debit,3955.05
TRANS000549,ACC00549,Credit,1540.25
TRANS000550,ACC00550,Debit,1508.06
TRANS000551,ACC00551,Debit,4001.5
TRANS000552,ACC00552,Debit,3496.3
TRANS000553,ACC00553,Debit,2123.43
TRANS000554,ACC00554,Debit,4486.37
TRANS000555,ACC00555,Debit,4598.48
TRANS000556,ACC00556,Credit,4850.76
TRANS000557,ACC00557,Credit,1518.87
TRANS000558,ACC00558,Credit,1791.77
TRANS000559,ACC00559,Debit,1736.11
TRANS000560,ACC00560,Credit,3938.15
TRANS000561,ACC00561,Debit,4920.25
TRANS000562,ACC00562,Debit,3237.37
TRANS000563,ACC00563,Credit,4357.53
TRANS000564,ACC00564,Credit,642.89
TRANS000565,ACC00565,Credit,3003.76
TRANS000566,ACC00566,Credit,4104.87
TRANS000567,ACC00567,Credit,1921.56
TRANS000568,ACC00568,Credit,4968.38
TRANS000569,ACC00569,Credit,4349.83
TRANS000570,ACC00570,Debit,3966.3
TRANS000571,ACC00571,Credit,2976.69
TRANS000572,ACC00572,Credit,3515.22
TRANS000573,ACC00573,Debit,3775.03
TRANS000574,ACC00574,Credit,3213.55
TRANS000575,ACC00575,Debit,3424.93
TRANS000576,ACC00576,Credit,1317.78
TRANS000577,ACC00577,Credit,3931.14
TRANS000578,ACC00578,Debit,4982.16
TRANS000579,ACC00579,Debit,3506.69
TRANS000580,ACC00580,Debit,1091.07
TRANS000581,ACC00581,Debit,4971.38
TRANS000582,ACC00582,Debit,3368.14
TRANS000583,ACC00583,Debit,4727.99
TRANS000584,ACC00584,Credit,519.66
TRANS000585,ACC00585,Credit,2984.08
TRANS000586,ACC00586,Debit,3777.52
TRANS000587,ACC00587,Credit,3341.98
TRANS000588,ACC00588,Credit,2243.88
TRANS000589,ACC00589,Debit,287.85
TRANS000590,ACC00590,Debit,3765.86
TRANS000591,ACC00591,Debit,3202.13
TRANS000592,ACC00592,Credit,4644.83
TRANS000593,ACC00593,Debit,3895.05
TRANS000594,ACC00594,Credit,2781.77
TRANS000595,ACC00595,Debit,1508.49
TRANS000596,ACC00596,Debit,4597.59
TRANS000597,ACC00597,Debit,3212.85
TRANS000598,ACC00598,Credit,3929.16
TRANS000599,ACC00599,Debit,4334.31
TRANS000600,ACC00600,Credit,2746.18
TRANS000601,ACC00601,Debit,1949.46
TRANS000602,ACC00602,Credit,2507.44
TRANS000603,ACC00603,Credit,2422.01
TRANS000604,ACC00604,Credit,4175.69
TRANS000605,ACC00605,Debit,2853.0
TRANS000606,ACC00606,Debit,1731.96
TRANS000607,ACC00607,Credit,961.71
TRANS000608,ACC00608,Debit,4309.17
TRANS000609,ACC00609,Credit,4104.45
TRANS000610,ACC00610,Credit,1949.09
TRANS000611,ACC00611,Debit,618.98
TRANS000612,ACC00612,Debit,3882.19
TRANS000613,ACC00613,Credit,1272.63
TRANS000614,ACC00614,Credit,4417.51
TRANS000615,ACC00615,Debit,505.36
TRANS000616,ACC00616,Debit,2287.52
TRANS000617,ACC00617,Debit,646.32
TRANS000618,ACC00618,Debit,1322.16
TRANS000619,ACC00619,Debit,2917.7
TRANS000620,ACC00620,Debit,4179.2
TRANS000621,ACC00621,Debit,2052.46
TRANS000622,ACC00622,Credit,3911.01
TRANS000623,ACC00623,Debit,2756.48
TRANS000624,ACC00624,Debit,1611.35
TRANS000625,ACC00625,Debit,885.74
TRANS000626,ACC00626,Debit,2464.57
TRANS000627,ACC00627,Debit,4490.88
TRANS000628,ACC00628,Credit,3661.05
TRANS000629,ACC00629,Debit,3974.42
TRANS000630,ACC00630,Debit,1405.87
TRANS000631,ACC00631,Credit,2027.05
TRANS000632,ACC00632,Credit,2779.16
TRANS000633,ACC00633,Credit,694.96
TRANS000634,ACC00634,Credit,3103.57
TRANS000635,ACC00635,Debit,3952.1
TRANS000636,ACC00636,Debit,1933.81
TRANS000637,ACC00637,Credit,1263.38
TRANS000638,ACC00638,Debit,2324.79
TRANS000639,ACC00639,Debit,238.78
TRANS000640,ACC00640,Debit,3898.35
