Account ID,Customer ID,Account Type,Branch,Balance,Currency
ACC00119,CUST0119,Current,Chicago,60043.73,GBP
ACC00120,CUST0120,Savings,Phoenix,38811.2,INR
ACC00121,CUST0121,Current,Los Angeles,49593.54,EUR
ACC00122,CUST0122,Savings,San Diego,94999.8,INR
ACC00123,CUST0123,Fixed Deposit,Chicago,57477.82,EUR
ACC00124,CUST0124,Savings,Los Angeles,4791.01,GBP
ACC00125,CUST0125,Savings,Houston,54789.44,EUR
ACC00126,CUST0126,Current,Houston,28614.45,GBP
ACC00127,CUST0127,Fixed Deposit,Houston,59388.02,EUR
ACC00128,CUST0128,Recurring Deposit,Philadelphia,77266.43,USD
ACC00129,CUST0129,Recurring Deposit,San Diego,71341.11,USD
ACC00130,CUST0130,Savings,Philadelphia,86450.54,GBP
ACC00131,CUST0131,Recurring Deposit,Philadelphia,70506.03,USD
ACC00132,CUST0132,Fixed Deposit,Los Angeles,27825.15,JPY
ACC00133,CUST0133,Fixed Deposit,Los Angeles,52812.22,GBP
ACC00134,CUST0134,Savings,Houston,3592.61,GBP
ACC00135,CUST0135,Fixed Deposit,San Antonio,25151.8,USD
ACC00136,CUST0136,Recurring Deposit,Houston,42526.33,INR
ACC00137,CUST0137,Current,Phoenix,1808.02,JPY
ACC00138,CUST0138,Recurring Deposit,San Diego,60952.19,JPY
ACC00139,CUST0139,Recurring Deposit,Philadelphia,14695.17,EUR
ACC00140,CUST0140,Savings,San Antonio,95252.64,JPY
ACC00141,CUST0141,Current,New York,11038.48,JPY
ACC00142,CUST0142,Current,New York,85507.61,EUR
ACC00143,CUST0143,Current,San Antonio,19856.63,GBP
ACC00144,CUST0144,Savings,Los Angeles,50135.53,JPY
ACC00145,CUST0145,Recurring Deposit,San Diego,66049.06,GBP
ACC00146,CUST0146,Current,Philadelphia,8192.57,INR
ACC00147,CUST0147,Recurring Deposit,San Diego,19960.22,INR
ACC00148,CUST0148,Fixed Deposit,Houston,63421.46,GBP
ACC00149,CUST0149,Savings,Philadelphia,96323.23,INR
ACC00150,CUST0150,Fixed Deposit,Houston,15546.48,GBP
ACC00151,CUST0151,Savings,San Diego,36733.96,GBP
ACC00152,CUST0152,Recurring Deposit,New York,19069.79,GBP
ACC00153,CUST0153,Fixed Deposit,San Diego,79708.13,USD
ACC00154,CUST0154,Recurring Deposit,Los Angeles,9261.58,JPY
ACC00155,CUST0155,Current,Los Angeles,99470.42,JPY
ACC00156,CUST0156,Recurring Deposit,Chicago,39978.31,USD
ACC00157,CUST0157,Recurring Deposit,Chicago,60105.54,JPY
ACC00158,CUST0158,Savings,San Diego,29161.1,GBP
ACC00159,CUST0159,Savings,Los Angeles,51599.39,INR
ACC00160,CUST0160,Recurring Deposit,Phoenix,29944.09,EUR
ACC00161,CUST0161,Current,New York,1773.55,JPY
ACC00162,CUST0162,Recurring Deposit,San Diego,66413.02,GBP
ACC00163,CUST0163,Fixed Deposit,San Antonio,89726.37,GBP
ACC00164,CUST0164,Current,Los Angeles,67614.29,USD
ACC00165,CUST0165,Recurring Deposit,Chicago,64593.35,GBP
ACC00166,CUST0166,Recurring Deposit,San Antonio,30762.0,EUR
ACC00167,CUST0167,Recurring Deposit,Chicago,13215.91,EUR
ACC00168,CUST0168,Savings,Chicago,92951.88,INR
ACC00169,CUST0169,Current,Houston,25222.31,JPY
ACC00170,CUST0170,Recurring Deposit,San Diego,15221.54,USD
ACC00171,CUST0171,Savings,Houston,48382.31,JPY
ACC00172,CUST0172,Savings,San Antonio,7807.42,USD
ACC00173,CUST0173,Fixed Deposit,Houston,8992.86,USD
ACC00174,CUST0174,Savings,San Diego,30465.71,JPY
ACC00175,CUST0175,Savings,Chicago,52814.05,JPY
ACC00176,CUST0176,Recurring Deposit,Los Angeles,58832.56,GBP
ACC00177,CUST0177,Recurring Deposit,Philadelphia,18474.6,GBP
ACC00178,CUST0178,Recurring Deposit,San Antonio,4914.24,JPY
ACC00179,CUST0179,Current,Houston,9694.06,GBP
ACC00180,CUST0180,Fixed Deposit,San Diego,60021.87,EUR
ACC00181,CUST0181,Savings,Los Angeles,79270.03,GBP
ACC00182,CUST0182,Recurring Deposit,Chicago,35576.53,USD
ACC00183,CUST0183,Savings,Houston,78821.22,INR
ACC00184,CUST0184,Fixed Deposit,New York,41946.55,JPY
ACC00185,CUST0185,Recurring Deposit,Phoenix,73330.09,USD
ACC00186,CUST0186,Current,Philadelphia,15174.4,EUR
ACC00187,CUST0187,Savings,Los Angeles,84290.22,GBP
ACC00188,CUST0188,Current,Houston,5219.29,INR
ACC00189,CUST0189,Fixed Deposit,Los Angeles,89197.25,GBP
ACC00190,CUST0190,Fixed Deposit,New York,615.52,USD
ACC00191,CUST0191,Fixed Deposit,San Antonio,84772.88,EUR
ACC00192,CUST0192,Current,Los Angeles,16072.37,EUR
ACC00193,CUST0193,Savings,New York,51471.04,EUR
ACC00194,CUST0194,Recurring Deposit,Philadelphia,80436.76,USD
ACC00195,CUST0195,Current,New York,99920.6,INR
ACC00196,CUST0196,Recurring Deposit,Chicago,96479.09,JPY
ACC00197,CUST0197,Savings,San Antonio,94916.15,INR
ACC00198,CUST0198,Recurring Deposit,Philadelphia,23187.02,EUR
ACC00199,CUST0199,Recurring Deposit,Los Angeles,59192.07,GBP
ACC00200,CUST0200,Recurring Deposit,New York,17434.95,INR
ACC00201,CUST0201,Fixed Deposit,Houston,68358.96,JPY
ACC00202,CUST0202,Fixed Deposit,Phoenix,2829.77,USD
ACC00203,CUST0203,Fixed Deposit,San Diego,89923.05,INR
ACC00204,CUST0204,Savings,San Diego,1904.35,INR
ACC00205,CUST0205,Savings,New York,77032.65,GBP
ACC00206,CUST0206,Savings,Los Angeles,58402.21,GBP
ACC00207,CUST0207,Savings,San Antonio,44143.5,JPY
ACC00208,CUST0208,Current,Houston,18977.34,EUR
ACC00209,CUST0209,Fixed Deposit,Phoenix,60201.45,USD
ACC00210,CUST0210,Savings,San Diego,10930.33,JPY
ACC00211,CUST0211,Current,New York,66262.6,USD
ACC00212,CUST0212,Current,San Antonio,40798.15,JPY
ACC00213,CUST0213,Savings,San Antonio,38688.31,USD
ACC00214,CUST0214,Recurring Deposit,Chicago,59547.47,INR
ACC00215,CUST0215,Fixed Deposit,Chicago,80119.84,GBP
ACC00216,CUST0216,Fixed Deposit,Philadelphia,36136.25,USD
ACC00217,CUST0217,Fixed Deposit,Los Angeles,5037.03,EUR
ACC00218,CUST0218,Recurring Deposit,San Antonio,614.12,EUR
ACC00219,CUST0219,Fixed Deposit,Los Angeles,19772.44,GBP
ACC00220,CUST0220,Savings,Los Angeles,65401.75,GBP
ACC00221,CUST0221,Current,New York,82385.8,GBP
ACC00222,CUST0222,Current,Phoenix,68593.58,EUR
ACC00223,CUST0223,Current,Phoenix,73863.31,JPY
ACC00224,CUST0224,Current,Houston,40291.97,EUR
ACC00225,CUST0225,Fixed Deposit,Los Angeles,76334.67,GBP
ACC00226,CUST0226,Fixed Deposit,Houston,52174.69,EUR
ACC00227,CUST0227,Recurring Deposit,San Diego,17285.67,USD
ACC00228,CUST0228,Current,Houston,67549.42,JPY
ACC00229,CUST0229,Savings,Houston,43994.24,EUR
ACC00230,CUST0230,Savings,Los Angeles,59189.39,JPY
ACC00231,CUST0231,Fixed Deposit,San Antonio,93988.74,USD
ACC00232,CUST0232,Savings,Los Angeles,58148.6,JPY
ACC00233,CUST0233,Savings,Los Angeles,33251.35,EUR
ACC00234,CUST0234,Savings,Philadelphia,32559.64,USD
ACC00235,CUST0235,Current,Houston,13610.23,GBP
ACC00236,CUST0236,Recurring Deposit,San Diego,52957.31,JPY
ACC00237,CUST0237,Savings,San Antonio,63900.54,INR
ACC00238,CUST0238,Current,San Antonio,24949.77,GBP
ACC00239,CUST0239,Fixed Deposit,Houston,15017.67,JPY
ACC00240,CUST0240,Current,San Antonio,36758.98,GBP
ACC00241,CUST0241,Fixed Deposit,San Diego,87714.9,INR
ACC00242,CUST0242,Current,Houston,15949.47,EUR
ACC00243,CUST0243,Savings,Los Angeles,56152.02,JPY
ACC00244,CUST0244,Current,San Diego,37182.13,JPY
ACC00245,CUST0245,Current,Phoenix,92813.69,EUR
ACC00246,CUST0246,Recurring Deposit,New York,74435.08,USD
ACC00247,CUST0247,Current,Phoenix,83648.85,JPY
ACC00248,CUST0248,Current,San Antonio,30168.91,GBP
ACC00249,CUST0249,Savings,Houston,32454.44,JPY
ACC00250,CUST0250,Fixed Deposit,Phoenix,25374.32,JPY
ACC00251,CUST0251,Savings,Chicago,95059.31,GBP
ACC00252,CUST0252,Current,Los Angeles,25740.07,USD
ACC00253,CUST0253,Fixed Deposit,Houston,70482.73,USD
ACC00254,CUST0254,Fixed Deposit,Chicago,67898.57,GBP
ACC00255,CUST0255,Recurring Deposit,San Diego,56970.14,USD
ACC00256,CUST0256,Recurring Deposit,Phoenix,66838.33,EUR
ACC00257,CUST0257,Current,Chicago,99388.43,EUR
ACC00258,CUST0258,Current,Los Angeles,73078.35,JPY
ACC00259,CUST0259,Savings,Chicago,51838.95,EUR
ACC00260,CUST0260,Recurring Deposit,Los Angeles,60471.77,JPY
ACC00261,CUST0261,Recurring Deposit,Phoenix,93490.65,JPY
ACC00262,CUST0262,Savings,Phoenix,32904.29,JPY
ACC00263,CUST0263,Current,Los Angeles,1409.48,INR
ACC00264,CUST0264,Current,San Diego,80151.8,JPY
ACC00265,CUST0265,Current,Houston,76755.97,USD
ACC00266,CUST0266,Fixed Deposit,Philadelphia,48224.66,GBP
ACC00267,CUST0267,Current,San Diego,4727.93,USD
ACC00268,CUST0268,Fixed Deposit,San Antonio,49471.24,USD
ACC00269,CUST0269,Savings,New York,89036.51,JPY
ACC00270,CUST0270,Fixed Deposit,San Diego,76259.81,INR
ACC00271,CUST0271,Current,Chicago,11122.43,INR
ACC00272,CUST0272,Savings,Los Angeles,27489.59,USD
ACC00273,CUST0273,Savings,New York,47868.48,USD
ACC00274,CUST0274,Fixed Deposit,Phoenix,99118.46,INR
ACC00275,CUST0275,Current,New York,7551.2,USD
ACC00276,CUST0276,Recurring Deposit,San Antonio,69975.17,EUR
ACC00277,CUST0277,Savings,Chicago,71190.45,GBP
ACC00278,CUST0278,Recurring Deposit,Los Angeles,18561.04,GBP
ACC00279,CUST0279,Savings,San Antonio,98954.65,INR
ACC00280,CUST0280,Savings,Philadelphia,41920.48,INR
ACC00281,CUST0281,Fixed Deposit,New York,4968.2,EUR
ACC00282,CUST0282,Savings,San Antonio,88039.66,EUR
ACC00283,CUST0283,Recurring Deposit,Houston,35023.99,INR
ACC00284,CUST0284,Recurring Deposit,New York,65927.42,EUR
ACC00285,CUST0285,Current,Phoenix,61588.85,EUR
ACC00286,CUST0286,Fixed Deposit,New York,20145.15,INR
ACC00287,CUST0287,Savings,Houston,73199.76,USD
ACC00288,CUST0288,Recurring Deposit,Los Angeles,91371.46,EUR
ACC00289,CUST0289,Recurring Deposit,New York,60615.66,GBP
ACC00290,CUST0290,Current,San Antonio,33522.83,INR
ACC00291,CUST0291,Current,Phoenix,95573.65,JPY
ACC00292,CUST0292,Current,Phoenix,19601.79,JPY
ACC00293,CUST0293,Recurring Deposit,San Diego,4127.42,GBP
ACC00294,CUST0294,Recurring Deposit,San Diego,58058.51,USD
ACC00295,CUST0295,Fixed Deposit,Houston,25189.89,JPY
ACC00296,CUST0296,Savings,Chicago,37102.2,GBP
ACC00297,CUST0297,Savings,Chicago,58217.64,INR
ACC00298,CUST0298,Recurring Deposit,Los Angeles,50363.68,INR
ACC00299,CUST0299,Savings,San Antonio,31721.04,USD
ACC00300,CUST0300,Current,New York,7248.31,GBP
ACC00301,CUST0301,Recurring Deposit,Houston,93957.12,JPY
ACC00302,CUST0302,Fixed Deposit,San Antonio,9743.63,EUR
ACC00303,CUST0303,Savings,San Antonio,35803.04,INR
ACC00304,CUST0304,Current,Chicago,55805.61,EUR
ACC00305,CUST0305,Recurring Deposit,Philadelphia,33377.81,GBP
ACC00306,CUST0306,Current,Los Angeles,99284.36,INR
ACC00307,CUST0307,Savings,Chicago,63870.04,EUR
ACC00308,CUST0308,Current,San Antonio,54879.03,EUR
ACC00309,CUST0309,Savings,New York,63761.9,INR
ACC00310,CUST0310,Current,Chicago,98333.38,USD
ACC00311,CUST0311,Current,San Diego,83142.37,EUR
ACC00312,CUST0312,Current,Philadelphia,47851.47,USD
ACC00313,CUST0313,Current,San Diego,57125.63,EUR
ACC00314,CUST0314,Current,Philadelphia,93298.59,EUR
ACC00315,CUST0315,Savings,Chicago,79133.21,INR
ACC00316,CUST0316,Savings,Los Angeles,75810.08,INR
ACC00317,CUST0317,Savings,Phoenix,99835.61,USD
ACC00318,CUST0318,Current,San Diego,81911.81,EUR
ACC00319,CUST0319,Savings,Houston,39260.19,EUR
ACC00320,CUST0320,Current,Phoenix,94595.87,GBP
ACC00321,CUST0321,Savings,Phoenix,44707.27,EUR
ACC00322,CUST0322,Savings,Chicago,54282.83,USD
ACC00323,CUST0323,Savings,Philadelphia,19698.92,JPY
ACC00324,CUST0324,Current,San Antonio,90379.36,EUR
ACC00325,CUST0325,Fixed Deposit,San Diego,96778.48,EUR
ACC00326,CUST0326,Savings,Houston,31246.52,INR
ACC00327,CUST0327,Fixed Deposit,Los Angeles,69066.15,USD
ACC00328,CUST0328,Recurring Deposit,Phoenix,62808.31,EUR
ACC00329,CUST0329,Savings,San Antonio,76902.06,INR
ACC00330,CUST0330,Fixed Deposit,New York,32721.84,EUR
ACC00331,CUST0331,Savings,Chicago,48164.97,INR
ACC00332,CUST0332,Current,Los Angeles,58027.59,INR
ACC00333,CUST0333,Current,Los Angeles,4699.33,GBP
ACC00334,CUST0334,Savings,Philadelphia,13215.16,EUR
ACC00335,CUST0335,Current,Phoenix,48179.7,JPY
ACC00336,CUST0336,Recurring Deposit,Houston,47590.43,EUR
ACC00337,CUST0337,Recurring Deposit,Los Angeles,36640.19,EUR
ACC00338,CUST0338,Current,New York,37018.11,GBP
ACC00339,CUST0339,Savings,Philadelphia,80217.71,INR
ACC00340,CUST0340,Fixed Deposit,Philadelphia,83802.19,JPY
ACC00341,CUST0341,Savings,New York,66258.57,INR
ACC00342,CUST0342,Savings,San Antonio,87395.72,JPY
ACC00343,CUST0343,Savings,New York,7471.6,EUR
ACC00344,CUST0344,Current,New York,47499.52,INR
ACC00345,CUST0345,Current,Los Angeles,81173.69,JPY
ACC00346,CUST0346,Current,Los Angeles,80689.08,GBP
ACC00347,CUST0347,Recurring Deposit,Phoenix,93692.25,EUR
ACC00348,CUST0348,Recurring Deposit,New York,26089.92,JPY
ACC00349,CUST0349,Savings,Los Angeles,55184.99,EUR
ACC00350,CUST0350,Current,San Diego,27103.6,USD
ACC00351,CUST0351,Current,Houston,88658.1,JPY
ACC00352,CUST0352,Current,San Diego,90247.3,GBP
ACC00353,CUST0353,Recurring Deposit,Chicago,51531.13,GBP
ACC00354,CUST0354,Current,Houston,21794.56,EUR
ACC00355,CUST0355,Fixed Deposit,San Diego,62318.66,EUR
ACC00356,CUST0356,Fixed Deposit,San Diego,23174.15,USD
ACC00357,CUST0357,Current,Phoenix,87931.26,JPY
ACC00358,CUST0358,Recurring Deposit,Chicago,61195.96,USD
ACC00359,CUST0359,Fixed Deposit,Phoenix,81502.83,EUR
ACC00360,CUST0360,Recurring Deposit,Chicago,53470.16,GBP
ACC00361,CUST0361,Current,San Diego,62295.34,INR
ACC00362,CUST0362,Recurring Deposit,Houston,39753.37,USD
ACC00363,CUST0363,Recurring Deposit,Los Angeles,84240.87,JPY
ACC00364,CUST0364,Savings,Chicago,24408.01,EUR
ACC00365,CUST0006,Fixed Deposit,New York,35058.88,USD
ACC00366,CUST0365,Savings,Philadelphia,23279.68,EUR
ACC00367,CUST0366,Savings,Houston,94556.06,JPY
ACC00368,CUST0367,Current,Philadelphia,93111.29,INR
ACC00369,CUST0368,Fixed Deposit,Philadelphia,66187.75,GBP
ACC00370,CUST0369,Savings,Phoenix,19936.98,USD
ACC00371,CUST0370,Recurring Deposit,Los Angeles,24950.86,INR
ACC00372,CUST0371,Recurring Deposit,San Diego,57806.71,EUR
ACC00373,CUST0372,Fixed Deposit,Houston,24847.49,GBP
ACC00374,CUST0373,Fixed Deposit,San Diego,94527.03,INR
ACC00375,CUST0374,Recurring Deposit,San Antonio,20180.91,USD
ACC00376,CUST0375,Savings,Philadelphia,61847.96,GBP
ACC00377,CUST0376,Savings,San Diego,99256.08,USD
ACC00378,CUST0377,Current,Los Angeles,36010.48,EUR
ACC00379,CUST0378,Current,New York,81958.76,INR
ACC00380,CUST0379,Recurring Deposit,New York,45011.42,GBP
ACC00381,CUST0380,Fixed Deposit,Houston,67579.48,EUR
ACC00382,CUST0381,Savings,Chicago,29292.73,JPY
ACC00383,CUST0382,Recurring Deposit,San Diego,32079.37,JPY
ACC00384,CUST0383,Savings,New York,64172.71,GBP
ACC00385,CUST0384,Savings,Chicago,3419.3,INR
ACC00386,CUST0385,Fixed Deposit,Phoenix,51583.29,GBP
ACC00387,CUST0386,Recurring Deposit,New York,69600.21,EUR
ACC00388,CUST0387,Recurring Deposit,New York,47661.83,GBP
ACC00389,CUST0388,Fixed Deposit,New York,92937.51,JPY
ACC00390,CUST0389,Current,San Diego,88331.15,INR
ACC00391,CUST0390,Savings,New York,92381.46,INR
ACC00392,CUST0391,Fixed Deposit,San Antonio,27467.13,EUR
ACC00393,CUST0392,Recurring Deposit,Phoenix,53707.02,EUR
ACC00394,CUST0393,Fixed Deposit,Los Angeles,743.88,USD
ACC00395,CUST0394,Current,New York,27327.03,EUR
ACC00396,CUST0395,Current,Phoenix,57582.96,EUR
ACC00397,CUST0396,Current,Phoenix,5300.0,GBP
ACC00398,CUST0397,Current,Houston,24654.22,USD
ACC00399,CUST0398,Recurring Deposit,Houston,1592.23,INR
ACC00400,CUST0399,Savings,San Diego,75343.43,EUR
ACC00401,CUST0400,Current,Philadelphia,93663.12,INR
ACC00402,CUST0401,Current,Phoenix,6409.01,JPY
ACC00403,CUST0402,Recurring Deposit,Phoenix,76640.07,EUR
ACC00404,CUST0403,Savings,San Diego,96257.94,USD
ACC00405,CUST0404,Recurring Deposit,Chicago,32028.51,EUR
ACC00406,CUST0405,Current,New York,9182.85,USD
ACC00407,CUST0406,Fixed Deposit,San Antonio,65707.75,GBP
ACC00408,CUST0407,Fixed Deposit,New York,69242.07,GBP
ACC00409,CUST0408,Fixed Deposit,Chicago,68143.25,GBP
ACC00410,CUST0409,Savings,San Antonio,9480.57,JPY
ACC00411,CUST0410,Savings,Los Angeles,26010.42,USD
ACC00412,CUST0411,Savings,San Diego,74246.27,JPY
ACC00413,CUST0412,Fixed Deposit,San Diego,2523.05,GBP
ACC00414,CUST0413,Fixed Deposit,Houston,67861.55,GBP
ACC00415,CUST0414,Current,San Diego,41503.94,GBP
ACC00416,CUST0415,Savings,San Diego,51291.36,INR
ACC00417,CUST0416,Savings,Chicago,41587.19,JPY
ACC00418,CUST0417,Savings,Philadelphia,5394.33,JPY
ACC00419,CUST0418,Fixed Deposit,Chicago,91112.97,GBP
ACC00420,CUST0419,Current,Los Angeles,58893.7,USD
ACC00421,CUST0420,Fixed Deposit,Houston,53203.28,EUR
ACC00422,CUST0421,Savings,Los Angeles,80745.86,INR
ACC00423,CUST0422,Recurring Deposit,New York,29972.41,EUR
ACC00424,CUST0423,Current,Phoenix,11061.27,GBP
ACC00425,CUST0424,Current,New York,9267.84,USD
ACC00426,CUST0425,Fixed Deposit,Chicago,45897.28,EUR
ACC00427,CUST0426,Savings,Philadelphia,67643.34,INR
ACC00428,CUST0427,Recurring Deposit,San Diego,97954.35,JPY
ACC00429,CUST0428,Fixed Deposit,San Antonio,91948.72,INR
ACC00430,CUST0429,Current,Philadelphia,63814.33,USD
ACC00431,CUST0430,Fixed Deposit,Los Angeles,73830.9,JPY
ACC00432,CUST0431,Current,Chicago,88706.59,EUR
ACC00433,CUST0432,Recurring Deposit,Houston,58026.26,JPY
ACC00434,CUST0433,Recurring Deposit,Los Angeles,9540.45,GBP
ACC00435,CUST0434,Fixed Deposit,Philadelphia,74345.31,GBP
ACC00436,CUST0435,Current,San Diego,60132.32,GBP
ACC00437,CUST0436,Current,Houston,64355.31,EUR
